Year,PEP & Dog Vax,only PEP current use,"PEP, dog vax & One Health communication",PEP only,PrEP +PEP
2012,127426,45534,141856,59964,4631659.66
2013,236885,89317,239352,117622,9084874.165
2014,271134,131416,268738,173063,13366294.26
2015,305134,171896,294871,226371,17482745.06
2016,333610,210819,315809,277628,21440546.35
2017,360991,248245,335942,326914,25245886.79
2018,387319,284232,355301,374305,28904646.45
2019,406387,318834,367667,419873,32422506.25
2020,424722,352106,379559,463688,35804906.3
2021,442351,384097,390992,505818,39057082.4
2022,459302,414859,401986,546328,42184060.77
2023,475601,444437,412557,585280,45190673.76
2024,491274,472878,422722,622733,48081564.35
2025,506343,500224,432495,658746,50861195.34
2026,520833,526519,441893,693374,53533856
2027,534766,551803,450929,726670,56103669.25
2028,548163,576114,459618,758685,58574598.1
2029,561045,599490,467972,789470,60950452.14
2030,573431,621967,476006,819070,63234893.52
2031,585340,643580,483730,847531,65431442.81
